Job Catogery,Job Title,Corp,Job Location,Work Time
Banking-Jobs,Insurance Sales Specialist (Bancassuranc) - Giza,Allianz -,"Giza, Egypt",Full Time
Banking-Jobs,Insurance Sales Specialist (Bancassuranc) - Cairo,Allianz -,"Cairo, Egypt",Full Time
Banking-Jobs,Senior Cards Operations Executive,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Accountant,Halwani Bros -,"10th of Ramadan City, Cairo, Egypt",Full Time
Banking-Jobs,Freight Forwarder,SHIBAM SHIPPING COMPANY -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Oracle Apps DBA,Egabi FSI -,"Sheraton, Cairo, Egypt",Full Time
Banking-Jobs,Accounting Supervisor,Confidential -,"Cairo, Egypt",Full Time
Banking-Jobs,General Accountant,Confidential -,"Bourj Alarab, Alexandria, Egypt",Full Time
Banking-Jobs,General Accountant,Kandeel Group -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Accountant,Confidential -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Ass. Accounting Manager,Confidential -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Senior Accountant,TechMart -,"Sheikh Zayed, Giza, Egypt",Full Time
Banking-Jobs,HR Specialist,Spinneys Egypt -,"Shorouk City, Cairo, Egypt",Full Time
Banking-Jobs,Finance Manager,Koudijs Kapo Feed -,"Bourj Alarab, Alexandria, Egypt",Full Time
Banking-Jobs,Credit Controller,Otis Elevator Company -,"Cairo, Egypt",Full Time
Banking-Jobs,Senior Graphic Desginer,Fawry for Banking Technology and Electronic Payments S.A.E -,"Giza, Egypt",Full Time
Banking-Jobs,Accountant,Confidential -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Process Improvement Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Senior Java developer - Microservices,Ejada  -,"Cairo, Egypt",Full Time
Banking-Jobs,General Accountant,Confidential -,"New Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Senior Accountant,Nile University -,"Sheikh Zayed, Giza, Egypt",Full Time
Banking-Jobs,Accounts Receivable Supervisor,Sky Distribution -,"Sheikh Zayed, Giza, Egypt",Full Time
Banking-Jobs,Accounting Manager,Mazaya -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Bid Manager,ITS  -,"Nasr City, Cairo, Egypt",Full Time
Banking-Jobs,Application Delivery Specialist _ 6 Months,A1Softech -,"6th of October, Giza, Egypt",Freelance / Project
Banking-Jobs,Hotel corporate accountant,AL-Matar -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Cash Management & Banking Relations Senior Officer,Ghabbour Auto -,"Abu Rawash, Giza, Egypt",Full Time
Banking-Jobs,AR Accountant,Yodawy -,"Giza, Egypt",Full Time
Banking-Jobs,Senior Application Support Engineer,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Banking Relationships manager,Confidential -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,SW Senior Performance Testing,Ejada  -,"Cairo, Egypt",Full Time
Banking-Jobs,SW Quality Control Senior Tester,Ejada  -,"Alexandria, Egypt",Full Time
Banking-Jobs,SW Quality Control Test Lead,Ejada  -,"Alexandria, Egypt",Full Time
Banking-Jobs,AR Accountant ( Suhag - Ismailia ),Elsewedy industries -,"Cairo, Egypt",Full Time
Banking-Jobs,Inventory Controller,Sinai Sons Company -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,System Implementation Engineer,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Senior Mechancial Desgin Engnieer - Electrical Panel,Chint Egemac -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Compliance Officer,Dafa -,"Haram, Giza, Egypt",Full Time
Banking-Jobs,Senior Treasury Accountant,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Data Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Treasury Accountant in Sharm ElSheikh,Partner & More -,"Sharm Alsheikh, South Sinai, Egypt",Full Time
Banking-Jobs,Treasury Senior Accountant,Partner & More -,"New Cairo, Cairo, Egypt",Full Time
